gameId,gameTitle,achievementId,title,description,points,trueRatio,type,author,badgeUrl,numAwarded,numAwardedHardcore,displayOrder,memAddr
668,Pokémon Emerald Version,537183,Zigzagone,Help out Professor Birch with the help of your new little friend,1,1,progression,Gudra,https://media.retroachievements.org/Badge/609830.png,31987,16302,1000,0xH000e08!=0_0xW005d8c=d0xW005d8c.20._R:0xW005d8c!=d0xW005d8c_I:0xW005d8c_d0xT0092eb>0xT0092eb
668,Pokémon Emerald Version,537203,Loyalty Program,Receive a free Potion sample in Oldale Town,1,2,,Gudra,https://media.retroachievements.org/Badge/609850.png,7544,4650,1001,0xH000e08!=0_0xW005d8c=d0xW005d8c.20._R:0xW005d8c!=d0xW005d8c_I:0xW005d8c_0xQ009280>d0xQ009280
668,Pokémon Emerald Version,27592,Let's Have a Quick Battle!,Defeat your Rival on Route 103,3,3,progression,Brian,https://media.retroachievements.org/Badge/315486.png,30565,15653,1002,0xH000e08!=0_0xW005d8c=d0xW005d8c.20._R:0xW005d8c!=d0xW005d8cSI:0xW005d8c_0xM009351>d0xM009351SI:0xW005d8c_0xP009351>d0xP009351SI:0xW005d8c_0xS009351>d0xS009351SI:0xW005d8c_0xN009352>d0xN009352SI:0xW005d8c_0xQ009352>d0xQ009352SI:0xW005d8c_0xT009352>d0xT009352
668,Pokémon Emerald Version,537184,Little Brother,Assist Wally in catching his first Pokémon,1,1,progression,Gudra,https://media.retroachievements.org/Badge/609831.png,21845,11918,1003,0xH000e08!=0_0xW005d8c=d0xW005d8c.20._R:0xW005d8c!=d0xW005d8c_I:0xW005d8c_0xI008004=2049_I:0xW005d8c_0xO0092dc>d0xO0092dc
668,Pokémon Emerald Version,537185,Woody Rumble,Save the Devon employee from the suspicious grunt trying to rob the documents,2,2,progression,Gudra,https://media.retroachievements.org/Badge/609832.png,21286,11634,1004,0xH000e08!=0_0xW005d8c=d0xW005d8c.20._R:0xW005d8c!=d0xW005d8c_I:0xW005d8c_0xO009311>d0xO009311
668,Pokémon Emerald Version,537126,Gardening Pro,Receive a Wailmer Pail at the Pretty Petal flower shop on Route 104,1,2,,Gudra,https://media.retroachievements.org/Badge/611445.png,5653,3626,1005,0xH000e08!=0_0xW005d8c=d0xW005d8c.20._R:0xW005d8c!=d0xW005d8c_I:0xW005d8c_0xS00927b>d0xS00927b
668,Pokémon Emerald Version,537204,Good Student,Receive a Quick Claw for attending the Trainer School,1,2,,Gudra,https://media.retroachievements.org/Badge/609851.png,5074,3335,1006,0xH000e08!=0_0xW005d8c=d0xW005d8c.20._R:0xW005d8c!=d0xW005d8c_I:0xW005d8c_0xP009292>d0xP009292
668,Pokémon Emerald Version,537133,Even the Mightiest Oak,Trade a Ralts for a Seedot in Rustboro City,3,11,,Gudra,https://media.retroachievements.org/Badge/611446.png,2679,2082,1007,0xH000e08!=0_0xW005d8c=d0xW005d8c.20._R:0xW005d8c!=d0xW005d8c_I:0xW005d8c_0xN009283>d0xN009283
668,Pokémon Emerald Version,537116,Battle Addict - Rustboro,Defeat every trainer in Rustboro gym,2,4,missable,Gudra,https://media.retroachievements.org/Badge/611447.png,6161,3813,1099,0xH000e08!=0_0xW005d8c=d0xW005d8c.20._R:0xW005d8c!=d0xW005d8c_I:0xW005d8c_A:0xM009338_I:0xW005d8c_A:0xN009338_I:0xW005d8c_M:0xP009357=3_I:0xW005d8c_A:d0xM009338_I:0xW005d8c_A:d0xN009338_I:0xW005d8c_d0xP009357>=1_I:0xW005d8c_A:d0xM009338_I:0xW005d8c_A:d0xN009338_I:0xW005d8c_d0xP009357<3
668,Pokémon Emerald Version,27596,Rockin' Whiz,Defeat Roxanne to earn the Stone Badge,10,12,progression,Brian,https://media.retroachievements.org/Badge/315493.png,20663,11325,1100,0xH000e08!=0_0xW005d8c=d0xW005d8c.20._R:0xW005d8c!=d0xW005d8c_I:0xW005d8c_0xT00937c>d0xT00937c
668,Pokémon Emerald Version,537186,Amazing Tech in the Palm of Your Hand,Receive the PokéNav from the Devon Corporation president,1,1,progression,Gudra,https://media.retroachievements.org/Badge/609833.png,17663,9978,1101,0xH000e08!=0_0xW005d8c=d0xW005d8c.20._R:0xW005d8c!=d0xW005d8c_I:0xW005d8c_0xO00937c>d0xO00937c
